header,price,note,usable_area,floor_area,floor,energy_effeciency,ownership,description,long,lat,hash,gas,waste,equipment,state,construction_type,place,electricity,heating,transport,year_reconstruction,telecomunication,has_lift,has_garage,has_cellar,no_barriers,has_loggia,has_balcony,has_garden,has_parking,tags,disposition,bus_station_dist,train_station_dist,subway_station_dist,tram_station_dist,post_office_dist,atm_dist,doctor_dist,vet_dist,primary_school_dist,kindergarten_dist,supermarket_grocery_dist,restaurant_pub_dist,playground_dist,sports_field_dist,theatre_cinema_dist,pharmacy_dist,name,date
"Prodej bytu 4+1 111 m², Volkova, Praha, Praha",9844850,,111,,3.0,,OSOBNI,"Volkova, metro B Rajská zahrada, Praha 9. Byt 4+1, 111 m2, prostorná lodžie 9 m2, ve 3.NP v ulici Volkova s obytnou plochou 111 m2 + lodžie 9m2 + komora + sklep. Nabízený byt je vhodný pro velkou rodinu či vícegenerační bydlení. 
Dispozice 4 +1 se samostatnou kuchyni s jídelnou, koupelnou s vanou a toaletou. V bytě je druhá koupelna a samostatná toaleta, která se nevyužívá. Je potřeba 2.koupelnu zrekonstruovat. Do všech místností se vchází z centrální chodby. Na prostornou lodžii vcházíte z obývacího pokoje. Nová kuchyňská linka je vybavena zabudovanými spotřebiči, indukční el.deska, elektrická trouba, myčka, lednice s mrazákem, špíz. V chodbě jsou vestavěné skříně. Vytápění bytu je dálkové.
Dům prošel revitalizací: zateplení domu, nový plášť, plastová okna, stoupačky, střecha. Okolí domu je upravené se zelení, dětskými hřišti a sportovišti. Metro B Rajská zahrada je pěšky 4 minuty.
Lokalita Černý Most nabízí příjemné bydlení v zeleni s plnou občanskou vybaveností a s velmi dobrým dopravním spojením. Dům se nachází u centrálního parku s vybudovaným rybníkem Aloisov. V blízkosti je základní škola, mateřská škola. V okolí je řada obchodů včetně Obchodního centra Černý Most. Výhodou je rovněž rychlé napojení na dálnici na Mladou Boleslav a Hradec Králové a na městský okruh.
Nemovitost je  s možností hypotečního úvěru.
Výhodné podmínky financování a případný prodej Vaší stávající nemovitosti je příjemnou službou navíc.",14.566551189251,50.106051941779,,,,,VERY_GOOD,PANEL,"Volkova, Praha - Černý Most",,,,,,True,False,True,,True,False,,False,MHD 2 minuty pěšky_Výtah_Sklep_Lodžie,DISP_4_1,,,,,639.71,,,,601.12,,381.3,787.75,166.78,1333.76,,501.18,breality,2022-10-20
"Prodej bytu 3+kk 86 m², Praha, Praha",13900000,,86,,7.0,B,OSOBNI,"Nabízíme k prodeji slunný byt 3+kk  (86,4 m2) s prostornou terasou (37,4 m2). 

Byt se nachází v novostavbě v 7. patře (poslední patro) s výtahem. Je součástí komplexu Rezidence Veselská. Kolaudace proběhla v roce 2019. 

Bytu dominuje prostorný obývací pokoj s kuchyňským koutem. Byt disponuje dvěma koupelnami s podlahovým topením (v jedné sprchový kout, v druhé vana). Dále jsou zde dva samostatné pokoje - ložnice se samostatnou šatnou s vestavěným policovým systémem a vstupem do koupelny, druhý možno využít jako dětský pokoj nebo kancelář. Nadstandardní úložné prostory nabízí vestavěné skříně v chodbě.

Z každého pokoje vede vstup na rozlehlou terasu. Celý byt je situován JV a je velmi světlý.

Veškerá okna mají venkovní elektrické žaluzie.

Byt má bezpečnostní a protipožární vchodové dveře. 

K bytu náleží prostorné garážové stání a sklep.

V celém domě je kamerový systém a možno využít společné prostory (kočárkárna).

Vybavení možno ponechat dle domluvy. V případě zájmu je možné nechat byt kompletně zařízený, a to včetně pračky a sušičky apod.

V okolní naleznete veškerou občanskou vybavenost: restaurace, kavárny, úřady, poštu, lékárnu, zdravotní středisko, v blízkosti se nachází Lesopark s maximálním sportovním vyžitím.

Lokalita je vhodná také pro rodiny s dětmi (školka je součástí komplexu Rezidence Veselská - I. etapa, v docházkové vzdálenosti je několik hřišť a škol). 

Doprava: bus zastávka u domu - necelých 5 minut chůze (Avia Letňany, Staré Letňany), metro C 5 minut jízdy autobusem. 

Nízké náklady na bydlení: poplatky SVJ za rok 2021 byly 3 369 Kč, záloha na elektřinu 700 Kč. Rychlý internet přes optický kabel 600 Kč.",14.51883,50.14087,,,,VYBAVENY,NEW,PANEL,Praha - Letňany,,OTHER,,,,True,True,True,,False,False,,True,MHD 4 minuty pěšky_Vybaveno_Výtah_Parkování_Sklep_Garáž_Terasa,DISP_3_KK,,,,,622.5,,,,987.11,,998.27,376.0,375.09,272.92,,738.68,breality,2022-10-20
"Prodej bytu 1+kk 35 m², Mařatkova, Praha, Praha",4200000,,35,,,,DRUZSTEVNI,"Nabízíme k prodeji družstevní byt 1+kk v prvním nadzemním podlaží o výměře 35 m2, včetně zasklené lodžie a sklepa Praha 4 - Kamýk. V bytě jsou plastová okna, vestavěné skříně, umakartové jádro vhodné k rekonstrukci. Dům je kompletně revitalizován. V okolí je veškerá občanská vybavenost, do jedné minuty dojdete pěšky k Hypermarketu Albert a cca 5 minut k obchodnímu centru Novodvorská Plaza.  Energetický štítek C. V budoucnosti družstvo uvažuje o převedení do osobního vlastnictví. Byt je vhodný jako startovací bydlení pro mladou rodinu, nebo na investici. Nízké měsíční náklady na bydlení. Doporučujeme prohlídku!",14.437280775,50.018297554,,,,VYBAVENY,VERY_GOOD,PANEL,"Mařatkova, Praha - Kamýk",,,,,,False,False,False,,True,False,,False,Vybaveno_Lodžie,DISP_1_KK,,,,,,,,,,,,,,,,,breality,2022-10-20
"Prodej bytu 3+1 68 m², Slancova, Praha, Praha",6475000,,68,,5.0,,OSOBNI,"Nabízíme ke koupi světlý byt 3+1 68m2 s lodžií 4,5m2 v 5. nadzemním podlaží plně revitalizovaného, panelového domu s výtahem v Praze 8 Kobylisích. Byt s rekonstruovanou koupelnou, se sprchovým  koutem  a pračkou, toaleta je zvlášť, na podlahách dlažba. V kuchyni je nová kuchyňská linka (plynový sporák, elektrická trouba, digestoř). V bytě je položena nová bezprahová plovoucí podlaha, kromě jednoho pokoje, kde je linoleum. Byt má velmi praktické rozmístění místností. Lodžie, na kterou je vstup z obývacího pokoje, je orientovaná na západ, je zasklená a opatřená žaluziemi. Okna jsou nová, plastová. Elektřina je původní v hliníku. V domě je k dispozici kočárkárna/kolárna v 1. NP. Výborná lokalita s veškerou občanskou vybaveností, 5 min chůze od Ďáblického háje, 10 min chůze od metra C Ládví, 5 minut autem od Aquacentra Šutka, co víc si přát. Krásné místo pro rodinu s dětmi, pohodlné rezidentské parkování. Kontaktujte mne pro možnost prohlídky. Byt je v osobním vlastnictví, lze hradit hypotečním úvěrem, který Vám rádi zařídíme.",14.466709562908,50.131331140887,,,,,VERY_GOOD,PANEL,"Slancova, Praha - Kobylisy",,,,,,True,False,False,,True,False,,False,MHD 3 minuty pěšky_Výtah_Lodžie,DISP_3_1,,,,,551.59,,,,287.72,,39.3,386.56,266.63,1371.65,,451.68,breality,2022-10-20
"Prodej bytu 1+kk 37 m², Praha, Praha",5248898,,37,,6.0,B,UNDEFINED,"Bohdalecké kvarteto
Praha 4  Michle, ulice U Plynárny

1+kk 36,86 m2 v 6. nadzemním podlaží
Kupte si byt a ihned pronajímejte.
Součástí bytů 1+kk a 2+kk v projektu Bohdalecké kvarteto je kuchyňská linka od studia Hanák.

V ceně: DPH, sklep, řízené větrání s rekuperací tepla, aplikace na ovládání topení a vzduchotechniky.

Orientace bytu: Sever

Popis: Byt a dispozicí 1+kk je situován v 6. podlaží nově vznikajícího projektu Bohdalecké kvarteto. Dominantou interiéru je pokoj o velikosti 23,3 m2 s kuchyňskou linkou. V bytě se nachází koupelna s vanou a toaletou. V rámci dispozičních řešení se myslelo také na dostatek úložných prostor, které lze maximálně využít ve vstupní hale (předsíni). V pokoji je plovoucí podlaha. V ostatních místnostech je dlažba.

Okolí: V blízkosti veškeré občanské vybavenosti a přesto nedaleko přírody. Jednou z velkých výhod projektu je autobusová a tramvajová zastávka Chodovská, která se nachází v těsné blízkosti projektu s praktickým spojením do různých částí Prahy. V samém centru se ocitnete za pouhou čtvrthodinu. Dalším velkým pozitivem je blízký supermarket a řada dalších obchodů včetně bankomatů a lékárny. Jistě Vás také potěší příroda na dosah ruky  lesopark Bohdalecký vrch. Nedaleko domu taktéž najdete sportovní areál v krásném prostředí Hamerského rybníka s řadou tenisových či squashových kurtů, beachvolejbalem, stolním tenisem, posilovnou a fitness studiem.

Další výhody: Symboly klasického smyčcového kvarteta: housle, viola, violoncello, kontrabas a akord, jsou také názvy vchodů, díky nimž se obytný soubor jmenuje Bohdalecké Kvarteto. Jedná se o energeticky pasivní projekt, který šetří náklady za energie a zároveň poskytuje zdravé prostředí pro Vaše bydlení, vhodné i pro alergiky. Ve vnitrobloku se navíc nachází oáza pro odpočinek s osázenými stromy, mikrosvětem pro dětské hry i relaxaci dospělých. Lze si za příplatek pořídit nabíjecí stanici na Vaše parkovací místo pro elektromobil. V projektu najdete také mnoho nadstandardních cyklistických prvků (servisní stanice, myčky, stojany na kola). To vše pro Vaše pohodlí.

Rezidenční soubor: 183 bytů a 5 komerčních jednotek

Proč právě JRD: Naše společnost staví zdravé domovy šetrné k životnímu prostředí. Díky moderním technologiím a řízenému větrání s rekuperací tepla bude ve Vašem bydlení neustále čerstvý vzduch a zároveň nedojde ke ztrátě tepla. Společnost klade velký důraz na komfort a zdravé bydlení  čistý vzduch, ticho, tepelná pohoda, kvalitní návrh osvětlení, ohleduplnost k životnímu prostředí, důmyslné řešení interiérů, zdravé materiály, komunitu obyvatel a okolí se zelení.

Toto reklamní a obchodní sdělení má pouze informativní charakter a není návrhem na uzavření smlouvy.",14.46668,50.05648,,,,NEVYBAVENY,NEW,NIZKOENERGETICKY,Praha - Michle,,,,,,True,False,True,,False,True,,False,Novostavba_Výtah_Balkón_Sklep,DISP_1_KK,,,,,,,,,,,,,,,,,breality,2022-10-20
"Prodej bytu 3+kk 69 m², Cyprichova, Praha, Praha",5200000,,69,,5.0,,DRUZSTEVNI,"Zajistíme Vám rekonstrukci v limitu 3 měsíců za bezkonkurenční cenu. Kalkulace na vyžádání.  majitele nabízíme byt 3+kk/L v 5.NP zrevitalizovaného bytového domu, situovaného na ideálním místě: několik minut chůze na stanici M Háje, současně v docházkové vzdálenosti Milíčovský les i rybník. Bytovou  jednotku tvoří obývací pokoj (27,17 m2) s kuchyňským koutem, další 2 pokoje (13,08 m2 a 9,54 m2), zasklená lodžie (3,24 m2), předsíň (7,46 m2), komora (šatna: 1,17 m2), koupelna (2,57 m2) a samostatné WC (0,90 m2). K bytu náleží sklepní kóje (1,50 m2), která se nachází v 1.NP. Nemovitost je vyklizena a připravena k rekonstrukci dle subjektivních představ nabyvatele. V inzerci jsou použity vizualizace. Veškerá vybavenost v místě, rychlá dostupnost centra metropole, současně spektrum příležitostí k aktivní relaxaci (Milíčovský les, Hostivařský lesopark, aj.) Družstevní vlastnictví, prozatím bez možnosti převodu do OV, v případě financování hypotékou je zapotřebí jiná nemovitost do zástavy.",14.529434269165,50.028306073055,,,,,GOOD,PANEL,"Cyprichova, Praha - Háje",,,,,,True,False,False,,True,False,,False,MHD 2 minuty pěšky_Výtah_Lodžie,DISP_3_KK,,,,,678.08,,,,339.82,,87.93,348.52,189.42,470.07,,409.97,breality,2022-10-20
"Prodej bytu 2+kk 45 m², Praha, Praha",6800000,,45,,4.0,G,UNDEFINED,"Prodej zrekonstruovaného bytu orientovaného do klidného vnitrobloku se nachází v prvorepublikovém bytovém domě s výtahem. Dům prošel v roce 2016 generální rekonstrukcí se vznikem nových jednotek a nachází se minutu chůze od náměstí Bratří Synků a zároveň od vlakového nádraží Praha-Vršovice. Perfektní spojení do centra města včetně budoucí stanice metra D.
Byt 2 + KK o výměře 45,1m2 se nachází ve 4. podlaží. Byt je skvěle dispozičně řešen s obývacím pokojem s kuchyní a jídelním prostorem, ložnicí (s vysokými šatními skříněmi), prostornou koupelnou (se sprchovým koutem a WC) a předsíní.
Interiér bytu prošel celkovou rekonstrukcí spolu s celým domem v roce 2016. V bytě jsou vysoké stropy, je položena plovoucí podlaha, součástí vybavení je kuchyň s myčkou a varnou deskou a troubou. V předsíni je dále dřevěný podhled s praktickým rozměrným úložným prostorem. Vytápění zajišťuje plynový kotel značky Junkers.
Lokalita s veškerou vybaveností a perfektní dostupností do centra Prahy, s možností relaxu a aktivního odpočinku v nedalekých parcích. Pěšky lze dojít do parku Na Fidlovačce, Folimanka, do romantické Grébovky nebo na Vyšehrad.
Součástí prodeje je zděný sklepní prostor 3,5m2 s kovovými dveřmi, do kterého lze uskladnit až 4 kola. Vstup do budovy je na čip. Parkování bezproblémové na modré zóně před domem.
S ohledem na nedávnou celkovou rekonstrukci domu jsou nízké poplatky do SVJ ve výši cca 2000,- měsíčně včetně poplatků za vodu.",14.44479,50.06314,,,,CASTECNE,VERY_GOOD,CIHLA,Praha - Nusle,,,,,,True,False,True,,False,False,,True,MHD 2 minuty pěšky_Částečně vybaveno_Výtah_Parkování_Sklep,DISP_2_KK,,,,,561.45,,,,460.09,,93.19,129.28,575.84,633.98,,304.87,breality,2022-10-20
"Prodej bytu 2+kk 41 m², Praha, Praha",4550000,,41,,8.0,C,OSOBNI,"Nabízím slunný byt, který bude do 15.12. ve stavu po kompletní rekonstrukci (novostavba) v ulici Lovosická 8, Prosek. Z původního 1kk vykouzlíme útulné 2kk se spoustou úložného prostoru o celkové podlahové ploše  41m2. Byt je v osobním vlastnictví v 8.patře s krásným výhledem. Vedle bytu komora. Nová plastová okna včetně francouzského na lodžii. Parkování je možné před domem nebo na hlídaném parkovišti cca 150 m od domu. Dům je po revitalizaci, zateplen a dobře udržován. SVJ velmi dobře hospodařící. Fotografie stavu po změně dispozice přiloženy ze stejně řešeného bytu.
Pro vážné zájemce tel.: 723773088 Byt je možné si rezervovat hned a podílet se nápady na rekonstrukci.",14.50458,50.12472,,,,CASTECNE,BAD,PANEL,Praha - Prosek,,CENTRAL,,,,True,False,True,,True,False,,True,MHD 3 minuty pěšky_Částečně vybaveno_Výtah_Parkování_Sklep_Lodžie,DISP_2_KK,,,,,562.96,,,,233.51,,147.69,129.2,130.2,1689.34,,957.63,breality,2022-10-20
"Prodej bytu 2+kk 58 m², Praha, Praha",8933100,,58,,4.0,B,UNDEFINED,"Nyní při koupi bytu v SO-HO rezidenci můžete využít aktuálně platné speciální nabídky:

1. CRESCO HYPOTÉKA 2,49 %. Akce platí pro prvních 15 klientů, kteří si pořídí jednotku v 1. ETAPĚ projektu a to od 1.10.2022.

2. Pořiďte si jednotku v SO-HO Rezidence a jako bonus určitě oceníte, že prostředky, které uhradíte nad 15 % v rámci první platby po podpisu SOSB (tj. do 10-ti dnů od podpisu SOSB), zhodnotíme sazbou 5 %.

3. Garantované nájmy v SO-HO Rezidenci - zajistíme Vám s koupí bytu bezproblémový a trvalý pronájem Vaší jednotky! Poskytneme kompletní obchodní správu, nepřetržitý nájem a profesionální online správu.

Světlý a slunný byt v SO-HO Rezidenci o dispozici 2+kk (57,6 m²) s balkonem (3,0 m²) se nachází v 4. nadzemním podlaží industriální budovy Tesla, jejíž renovace bude dokončena v 4Q 2023. Obývací pokoj s téměř 34 m² dává prostor pro promyšlené zařízení interiéru od vstupní části, přes kuchyňskou a klidovou zónou, až k balkonu orientovanému na západ do ulice V Háji. Samostatná ložnice nabízí dostatek místa pro úložný prostor a dvě velká okna. Byt je proveden ve vysokém standardu: dřevěné podlahy, hliníková okna, exteriérové stínění, samostatné WC, velkoformátové obklady na WC i v koupelně s vanou. Vstupní bytové dveře jsou 3. bezpečnostní třída.   
SO-HO Rezidence, nacházející se v jižní části Holešovic, vytvoří nový rezidenční blok se zeleným vnitroblokem mezi ulicemi V Háji, Dělnická a Tusarova. Zaujme lidi, kteří mají rádi městské bydlení v živé lokalitě. Jižní Holešovice jsou místo s komplexní občanskou vybaveností, řadou gurmánských podniků od české tradiční kuchyně, přes pravou italskou cuccinu, až po street food koncepty a jižanské BBQ. Milovníci umění si zde také přijdou na své, naleznete zde DOX, centrum současného umění, divadelní scény všech žánrů, malebný street art, místa a kluby plné inspirace a nekonvenčního myšlení.   
Uvedená kupní cena bytu je včetně DPH a zahrnuje sklep. Parkovací stání v ceně zahrnuto není. Prodej bytu přímo od developera, od 02/2022.   
Více informací o tomto bytu, projektu, lokalitě a aktuální nabídce bytů z 1. a 2. etapy najdete na webových stránkách projektu nebo nás můžete také navštívit v našem prodejním centrum, kde jste srdečně zváni, na adrese: Classic 7, Budova C (přízemí), Jankovcova 1037/49, 170 00 Praha 7.",14.45394,50.10461,,,,NEVYBAVENY,CONSTRUCTION,OSTATNI,Praha - Holešovice,,,,,,True,False,True,,False,True,,False,Novostavba_Výtah_Balkón_Sklep,DISP_2_KK,,,,,,,,,,,,,,,,,breality,2022-10-20
"Prodej bytu 1+kk 43 m², Praha, Praha",6909025,,43,,3.0,B,UNDEFINED,"Nyní při koupi bytu v SO-HO rezidenci můžete využít aktuálně platné speciální nabídky:

1. CRESCO HYPOTÉKA 2,49 %. Akce platí pro prvních 15 klientů, kteří si pořídí jednotku v 1. ETAPĚ projektu a to od 1.10.2022.

2. Pořiďte si jednotku v SO-HO Rezidence a jako bonus určitě oceníte, že prostředky, které uhradíte nad 15 % v rámci první platby po podpisu SOSB (tj. do 10-ti dnů od podpisu SOSB), zhodnotíme sazbou 5 %.

3. Garantované nájmy v SO-HO Rezidenci - zajistíme Vám s koupí bytu bezproblémový a trvalý pronájem Vaší jednotky! Poskytneme kompletní obchodní správu, nepřetržitý nájem a profesionální online správu.


Světlý byt v SO-HO Rezidenci o dispozici 1,5+kk (43,2 m²) s balkonem (3,0 m²) se nachází ve 3. nadzemním podlaží industriální budovy Tesla, jejíž renovace bude dokončena v 4Q 2023. Obývací pokoj s téměř 36 m² dává prostor pro promyšlené zařízení interiéru propojující kuchyňskou část s klidovou zónou s balkonem orientovaným na východ do klidného zeleného vnitrobloku. Dispozice tohoto bytu nabízí jednoduchou úpravou přeměnu na plnohodnotný 2+kk. Byt je proveden ve vysokém standardu: dřevěné podlahy, hliníková okna, exteriérové stínění, samostatné WC, velkoformátové obklady na WC i v koupelně s vanou. Vstupní bytové dveře jsou 3. bezpečnostní třída.   
SO-HO Rezidence, nacházející se v jižní části Holešovic, vytvoří nový rezidenční blok se zeleným vnitroblokem mezi ulicemi V Háji, Dělnická a Tusarova. Zaujme lidi, kteří mají rádi městské bydlení v živé lokalitě. Jižní Holešovice jsou místo s komplexní občanskou vybaveností, řadou gurmánských podniků od české tradiční kuchyně, přes pravou italskou cuccinu, až po street food koncepty a jižanské BBQ. Milovníci umění si zde také přijdou na své, naleznete zde DOX, centrum současného umění, divadelní scény všech žánrů, malebný street art, místa a kluby plné inspirace a nekonvenčního myšlení.   
Uvedená kupní cena bytu je včetně DPH a zahrnuje sklep. Parkovací stání v ceně zahrnuto není. Prodej bytu přímo od developera, od 02/2022.  
 Více informací o tomto bytu, projektu, lokalitě a aktuální nabídce bytů z 1. a 2. etapy najdete na webových stránkách projektu nebo nás můžete také navštívit v našem prodejním centrum, kde jste srdečně zváni, na adrese: Classic 7, Budova C (přízemí), Jankovcova 1037/49, 170 00 Praha 7.",14.45394,50.10461,,,,NEVYBAVENY,CONSTRUCTION,OSTATNI,Praha - Holešovice,,,,,,True,False,True,,False,True,,False,Novostavba_Výtah_Balkón_Sklep,DISP_1_KK,,,,,,,,,,,,,,,,,breality,2022-10-20
"Prodej bytu 3+1 78 m², Platónova, Praha, Praha",7799900,,78,,4.0,G,OSOBNI,"Prostorný světlý byt 3+1/L v osobním vlastnictví o velikosti 78 m2 se zasklenou lodžií a sklepem, v ulici Platónova, Praha 4 - Modřany. Byt se nachází v klidné lokalitě na okraji vilové čtvrti nedaleko od centra Modřan. Dům je po revitalizaci z roku 2017, plastová okna, vchody na čip, nový výtah. Byt byl rekonstruován v roce 2018, má bezpečnostní vstupní dveře, zasklenou lodžii, zděnou koupelnu s masážní vanou, samostatné WC. V chodbě bytu je velká vestavěná skříň, další úložný prostor zajišťuje sklep. Kuchyně je vybavena novou kuchyňskou linkou se spotřebiči (el. trouba, varná deska, digestoř, lednice s mrazákem). Obývací pokoj s lodžií je orientován na jih s příjemným výhledem na vzrostlé stromy. Obě ložnice a kuchyně jsou orientovány na sever s krásným výhledem na město Samostatné WC.Internetové připojení je zde řešeno optickým kabelem, kabelová TV od UPC a O2. K dispozici v domě je kočárkárna, kolárna, sušárna a prádelna. Parkování volné před domem bez placených zón.
Kousek od domu jsou potraviny Flop a dvě mateřské školy a dětská hřiště. V dochozí vzdálenosti je MHD zast. Petržílova a Násirovo náměstí a veškerá občanská vybavenost (školy, školky, gymnázium, dětská hřiště, kulturní centrum, nákupní centrum, poliklinika, restaurace a kavárny, sportoviště). Do centra je spojení autobusem za 18 minut na metro C Kačerov nebo metro B Smíchovské nádraží. Budoucí zastávka metra D Libuš je vzdálena jen 5 minut od domu, plánované dokončení v roce 2022 (trasa Náměstí Míru - depo Písnice).
Ideální bydlení v příjemném světlém prostorném bytě pro milovníky přírody a sportovního vyžití, nedaleko je přírodní park Modřanská rokle nebo Cholupický les, tenis, golf, cyklostezky, in-line dráha a další.
Měsíční náklady činí 5 590,- Kč/měsíc + spotřeba elektřiny a plynu. Majitel potřebuje čas 3-6 měsíců na nalezení nového bydlení a přestěhování. Po tuto dobu by platil nájem a poplatky. RK a zprostředkovatelé, kteří by chtěli získat provizi neobtěžujte se, nebudu s Vámi jednat. Od každého zájemce vyžaduji ujištění, že není RK a že je přímý zájemce. Budu vyžadovat doložení solventnosti. Cena 7.799.900,- Kč.",14.42119,49.99957,,,,CASTECNE,VERY_GOOD,PANEL,"Platónova, Praha - Modřany",,REMOTE,,,,True,False,True,,True,False,,False,MHD 2 minuty pěšky_Částečně vybaveno_Výtah_Sklep_Lodžie,DISP_3_1,,,,,927.85,,,,121.76,,500.85,344.74,244.96,931.94,,1009.72,breality,2022-10-20
"Prodej bytu 2+kk 51 m², Buzulucká, Praha, Praha",7800000,,51,,,,OSOBNI,"Prodej 2+kk, vyhledávaná lokalita na Praze 6 - Dejvice. Byt o velikosti 51 m2, po rekonstrukci s balkonem je dispozičně řešen jako 2+kk s komorou/šatnou, koupelnou s rohovou vanou a odděleném WC. Byt má okna s orientací na západ, k využití klidný zelený vnitroblok, výborně dostupná veřejná doprava včetně stanice metra trasy A – Dejvická. Obchody, služby, pohodlí kaváren a útulných restaurací i mnoho možností sportovního vyžití, to vše doplňuje rozlehlý komplex kampusu Českého vysokého učení technického. Parkování je možné v přilehlých ulicích. Bližší informace v RK.",14.393583962,50.099214585,,,,CASTECNE,VERY_GOOD,CIHLA,"Buzulucká, Praha - Dejvice",,,,,,False,False,False,,False,True,,False,Částečně vybaveno_Balkón,DISP_2_KK,,,,,,,,,,,,,,,,,breality,2022-10-20
"Prodej bytu 3+1 80 m², Borovanského, Praha, Praha",5640000,,80,,2.0,,DRUZSTEVNI,"Nabízíme byt 3+1 s podlahovou plochou 80,98 m2 v družstevním vlastnictví s aktuální anuitou 1 097 000,- Kč, s možností převodu do osobního vlastnictví. Bytová jednotka se nachází ve 2.NP udržovaného bytového domu s výtahem a náleží k ní sklep (1,50 m2) v 1.PP. Byt tvoří 3 pokoje (18,27 m2, 13,80 m2 a 12,76 m2), velká lodžie (6,96 m2), kuchyň (10,90 m2) a předsíň (12,91 m2), doplněné dále o hygienické zázemí a šatnu. Možnost převodu do OV, hypotéka lze, rádi Vám zařídíme nejoptimálnější financování. Příjemné bydlení v lokalitě s vybaveností i rychlou dostupností centra metropole.",14.339954113719,50.038338321566,,,,,GOOD,PANEL,"Borovanského, Praha - Stodůlky",,,,,,True,False,True,,True,False,,False,MHD 2 minuty pěšky_Výtah_Sklep_Lodžie,DISP_3_1,,,,,431.92,,,,184.09,,112.21,211.81,141.52,264.01,,428.62,breality,2022-10-20
"Prodej bytu 2+kk 53 m², Trnkovo náměstí, Praha, Praha",5199000,,53,,2.0,G,OSOBNI,"Realitní kanceláře prosím, nerušit.

WB2004@ATLAS.CZ

Prodeji útulného bytu 2+kk o výměře 39,5m² s krásnou terasou (směrem na východ) o výměře 13,6m², Trnkově náměstí , Praha 5 - Hlubočepy. Byt se nachází ve zvýšeném 2. NP. Dům byl kolaudován v r.2001. Plně vybavená kuchyňská linka s menším barem a bodovými světly, elektrickou troubou Gorenje , sklo-keramickou varnou deskou, odsavačem, mikrovlnou troubou a vestavěnou lednicí s mrazákem. Byt je tichý orientován do vnitrobloku. Výhodou tohoto bytu je prostorná terasa, která je velmi vhodná k posezení či grilování a není přístupná z ulice. Byt je vybaven venkovní rolety, žaluzie, bezpečnostními dveřmi značky NEXT, laminátovými podlahami, šatní skříň. K bytu náleží sklepní kóje. Celý dům je zabezpečen kamerovým systémem a přístup je zajištěn pomocí čipů, které umožňují vstup výhradně obyvatelům domu. Každodenní přítomnost pracovníka správcovské firmy v domě. Nízké měsíční poplatky. Přímo u domu se nachází restaurace, větší potraviny, kadeřnictví. V těsné blízkosti dětské hřiště. Výborná dostupnost do centra - konečná tramvaje a parkoviště před domem. Jedná se o bezpečnou a vyhledávanou lokalitu u Prokopského údolí. Velká možnost sportovní ho vyžití (běžecký stadion, tenisové kurty, aquapark). Pěkné bydlení v blízkosti zeleně. Vhodná investiční nemovitost se zajištěním bezproblémového dlouhodobého pronájmu. 

WB2004@ATLAS.CZ",14.3685927,50.0309311,,,,VYBAVENY,VERY_GOOD,CIHLA,"Trnkovo náměstí, Praha - Hlubočepy",,CENTRAL,,,,True,False,True,,False,False,1.0,False,MHD 1 minuta pěšky_Vybaveno_Výtah_Sklep_Terasa,DISP_2_KK,,,,,391.87,,,,348.61,,206.12,1.59,72.36,692.24,,676.16,breality,2022-10-20
"Prodej bytu 2+kk 52 m², Limuzská, Praha, Praha",6200000,,52,,2.0,G,OSOBNI,"Nabízím k prodeji novostavbu 2+kk, 52 m2 + balkon 3 m2 + komora 1,5 m2 + venkovní parkovací místo, byt je v klidné lokalitě s veškerou občanskou vybavenosti a dobrou dostupnosti do centra města, zastávka tram hned před domem, metro Skalka 10 min chůzi, supermarket TESCO 5 min chůzi,  byt je v záruce 24 měs., v byte je kuchyňská linka, včetně spotřebičů a světla -není vidět na nekterych foto,  doporučuji",14.5085,50.07828,,,,CASTECNE,NEW,CIHLA,"Limuzská, Praha - Strašnice",,,,,,True,False,True,,False,True,,True,MHD do minuty pěšky_Částečně vybaveno_Výtah_Parkování_Balkón_Sklep,DISP_2_KK,,,,,885.21,,,,997.92,,523.81,30.45,324.79,1208.95,,729.9,breality,2022-10-20
